ENV.earthquake,Magnitude 3.2 tremor felt in the city
ENV.landslide,Mudslide blocking the canyon road
ENV.smoke,Smoke from distant wildfires in the air
ENV.erosion,Beach erosion warning for coastal homes
ENV.wildlife,Coyote sightings in the neighborhood
ENV.air,Smog alert for the downtown area
ENV.pollen,Extreme ragweed levels detected
ENV.earthquake,Aftershock reported near the epicenter
ENV.pollution,Illegal dumping found in the forest
ENV.landslide,Rocks falling on the mountain highway
ENV.wildlife,Bear spotted near the hiking trail
ENV.smoke,Haze reducing visibility across the bay
ENV.air,Ozone alert for the metropolitan region
ENV.pollen,Tree pollen levels at seasonal high
ENV.earthquake,Slight vibration reported in high-rises
ENV.pollution,Oil slick spotted in the harbor
ENV.wildlife,Deer hazard on the rural roads
